ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,29.178477617031017,28.126015165833742,29.087730659475984,29.178477617031017,29.178477617031017,-0.5773271433977788,-0.5773271433977788,-0.5773271433977788,-0.5773271433977788,-0.5773271433977788,-0.5773271433977788,0.0,0.0,0.0,28.60115047363324
2011-02-01,29.179581706767873,28.202843204587282,29.14222418994652,29.179581706767873,29.179581706767873,-0.5079309693778973,-0.5079309693778973,-0.5079309693778973,-0.5079309693778973,-0.5079309693778973,-0.5079309693778973,0.0,0.0,0.0,28.671650737389974
2011-03-01,29.180578949110835,28.711791751122288,29.67036976639243,29.180578949110835,29.180578949110835,0.009557068577026968,0.009557068577026968,0.009557068577026968,0.009557068577026968,0.009557068577026968,0.009557068577026968,0.0,0.0,0.0,29.190136017687863
2011-04-01,29.18168303884769,29.402387334061018,30.350804911249316,29.18168303884769,29.18168303884769,0.7020716851285256,0.7020716851285256,0.7020716851285256,0.7020716851285256,0.7020716851285256,0.7020716851285256,0.0,0.0,0.0,29.883754723976217
2011-05-01,29.182751512786584,29.51814575181589,30.48106885124152,29.182751512786584,29.182751512786584,0.8216481346730238,0.8216481346730238,0.8216481346730238,0.8216481346730238,0.8216481346730238,0.8216481346730238,0.0,0.0,0.0,30.004399647459607
2011-06-01,29.183855602523437,29.14746850133816,30.09194324204003,29.183855602523437,29.183855602523437,0.4242984229657318,0.4242984229657318,0.4242984229657318,0.4242984229657318,0.4242984229657318,0.4242984229657318,0.0,0.0,0.0,29.608154025489167
2011-07-01,29.184924076462327,28.894953107869043,29.801893695153357,29.184924076462327,29.184924076462327,0.1414597047915353,0.1414597047915353,0.1414597047915353,0.1414597047915353,0.1414597047915353,0.1414597047915353,0.0,0.0,0.0,29.326383781253863
2011-08-01,29.18602816619918,28.709847507990837,29.640237514754492,29.18602816619918,29.18602816619918,0.0009380056266140172,0.0009380056266140172,0.0009380056266140172,0.0009380056266140172,0.0009380056266140172,0.0009380056266140172,0.0,0.0,0.0,29.186966171825794
2011-09-01,29.18713225593603,28.742041974956372,29.661613862462165,29.18713225593603,29.18713225593603,-0.0013429962151681792,-0.0013429962151681792,-0.0013429962151681792,-0.0013429962151681792,-0.0013429962151681792,-0.0013429962151681792,0.0,0.0,0.0,29.185789259720863
2011-10-01,29.188200729874925,28.54872544355787,29.504649644222976,29.188200729874925,29.188200729874925,-0.18855760122446952,-0.18855760122446952,-0.18855760122446952,-0.18855760122446952,-0.18855760122446952,-0.18855760122446952,0.0,0.0,0.0,28.999643128650455
2011-11-01,29.189304819611777,28.415666333211906,29.40034727254918,29.189304819611777,29.189304819611777,-0.2927830151020202,-0.2927830151020202,-0.2927830151020202,-0.2927830151020202,-0.2927830151020202,-0.2927830151020202,0.0,0.0,0.0,28.896521804509756
2011-12-01,29.190373293550667,28.289462117439104,29.22619248352227,29.190373293550667,29.190373293550667,-0.4163034233157543,-0.4163034233157543,-0.4163034233157543,-0.4163034233157543,-0.4163034233157543,-0.4163034233157543,0.0,0.0,0.0,28.774069870234914
2012-01-01,29.191477383287523,28.136293514089225,29.071432602322083,29.191474142874288,29.191477383287523,-0.5805275432086093,-0.5805275432086093,-0.5805275432086093,-0.5805275432086093,-0.5805275432086093,-0.5805275432086093,0.0,0.0,0.0,28.610949840078913
2012-02-01,29.192581473024376,28.203013336387706,29.10672279476122,29.19242000322008,29.192581473024376,-0.5326320475718587,-0.5326320475718587,-0.5326320475718587,-0.5326320475718587,-0.5326320475718587,-0.5326320475718587,0.0,0.0,0.0,28.659949425452517
2012-03-01,29.193614331165303,28.729740775948716,29.68021821724931,29.193289490617417,29.193614331165303,0.03354004015647418,0.03354004015647418,0.03354004015647418,0.03354004015647418,0.03354004015647418,0.03354004015647418,0.0,0.0,0.0,29.227154371321777
2012-04-01,29.19471842090216,29.349064426177126,30.281949870835746,29.194146112273845,29.19471842090216,0.6071185724560678,0.6071185724560678,0.6071185724560678,0.6071185724560678,0.6071185724560678,0.6071185724560678,0.0,0.0,0.0,29.801836993358226
2012-05-01,29.195786894841046,29.428622500479833,30.384873472125886,29.194825226765214,29.195814481333223,0.6811168802302301,0.6811168802302301,0.6811168802302301,0.6811168802302301,0.6811168802302301,0.6811168802302301,0.0,0.0,0.0,29.876903775071277
2012-06-01,29.196890984577905,29.32077476973765,30.20897597746903,29.195357184123726,29.19719875290231,0.576176403092478,0.576176403092478,0.576176403092478,0.576176403092478,0.576176403092478,0.576176403092478,0.0,0.0,0.0,29.773067387670384
2012-07-01,29.197959458516795,28.984534674179933,29.88438919206739,29.196213970218402,29.198525494211566,0.266406223049349,0.266406223049349,0.266406223049349,0.266406223049349,0.266406223049349,0.266406223049349,0.0,0.0,0.0,29.464365681566143
2012-08-01,29.199063548253648,28.694011134551875,29.651871074413876,29.196628538562344,29.199966160183983,-0.03301116679346968,-0.03301116679346968,-0.03301116679346968,-0.03301116679346968,-0.03301116679346968,-0.03301116679346968,0.0,0.0,0.0,29.16605238146018
