ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,35.31010087874281,34.565580973817895,35.31365381184856,35.31010087874281,35.31010087874281,-0.38194206158837135,-0.38194206158837135,-0.38194206158837135,-0.38194206158837135,-0.38194206158837135,-0.38194206158837135,0.0,0.0,0.0,34.92815881715444
2011-02-01,35.31006941894537,34.31338915908883,35.03085493833554,35.31006941894537,35.31006941894537,-0.6370843054559714,-0.6370843054559714,-0.6370843054559714,-0.6370843054559714,-0.6370843054559714,-0.6370843054559714,0.0,0.0,0.0,34.672985113489396
2011-03-01,35.31004100364444,34.20613360172589,34.95377126529775,35.31004100364444,35.31004100364444,-0.721356574152634,-0.721356574152634,-0.721356574152634,-0.721356574152634,-0.721356574152634,-0.721356574152634,0.0,0.0,0.0,34.588684429491806
2011-04-01,35.310009543846995,34.33610249730874,35.075569687035646,35.310009543846995,35.310009543846995,-0.607875100180661,-0.607875100180661,-0.607875100180661,-0.607875100180661,-0.607875100180661,-0.607875100180661,0.0,0.0,0.0,34.70213444366633
2011-05-01,35.309979098881726,34.56121876954704,35.26254563531966,35.309979098881726,35.309979098881726,-0.38679813726446977,-0.38679813726446977,-0.38679813726446977,-0.38679813726446977,-0.38679813726446977,-0.38679813726446977,0.0,0.0,0.0,34.923180961617255
2011-06-01,35.30994763908428,34.84392121848951,35.57378734835535,35.30994763908428,35.30994763908428,-0.1067966674745577,-0.1067966674745577,-0.1067966674745577,-0.1067966674745577,-0.1067966674745577,-0.1067966674745577,0.0,0.0,0.0,35.20315097160972
2011-07-01,35.30991719411901,35.14741165715589,35.87881779539451,35.30991719411901,35.30991719411901,0.19958401509440135,0.19958401509440135,0.19958401509440135,0.19958401509440135,0.19958401509440135,0.19958401509440135,0.0,0.0,0.0,35.50950120921341
2011-08-01,35.30988573432156,35.395788070114264,36.09350793873564,35.30988573432156,35.30988573432156,0.46426393683080125,0.46426393683080125,0.46426393683080125,0.46426393683080125,0.46426393683080125,0.46426393683080125,0.0,0.0,0.0,35.774149671152365
2011-09-01,35.30985427452411,35.59615107893746,36.28159723030083,35.30985427452411,35.30985427452411,0.6473708919477026,0.6473708919477026,0.6473708919477026,0.6473708919477026,0.6473708919477026,0.6473708919477026,0.0,0.0,0.0,35.957225166471815
2011-10-01,35.309823829558844,35.63722156245315,36.41323715119483,35.309823829558844,35.309823829558844,0.6956862449424949,0.6956862449424949,0.6956862449424949,0.6956862449424949,0.6956862449424949,0.6956862449424949,0.0,0.0,0.0,36.00551007450134
2011-11-01,35.3097923697614,35.45177286475043,36.1794183130095,35.3097923697614,35.3097923697614,0.5167911073147691,0.5167911073147691,0.5167911073147691,0.5167911073147691,0.5167911073147691,0.5167911073147691,0.0,0.0,0.0,35.82658347707616
2011-12-01,35.30976192479613,35.141798338704334,35.86592656617981,35.30976192479613,35.30976192479613,0.1896723757682301,0.1896723757682301,0.1896723757682301,0.1896723757682301,0.1896723757682301,0.1896723757682301,0.0,0.0,0.0,35.49943430056436
2012-01-01,35.30973046499868,34.584715867544645,35.28373966196543,35.30973046499868,35.30973046499868,-0.3599991896699474,-0.3599991896699474,-0.3599991896699474,-0.3599991896699474,-0.3599991896699474,-0.3599991896699474,0.0,0.0,0.0,34.94973127532873
2012-02-01,35.30969900520123,34.30917963111711,35.0372922460324,35.30969900520123,35.30969900520123,-0.6368042657505019,-0.6368042657505019,-0.6368042657505019,-0.6368042657505019,-0.6368042657505019,-0.6368042657505019,0.0,0.0,0.0,34.67289473945073
2012-03-01,35.309669575068135,34.2810522382063,34.98494026400327,35.309669575068135,35.309669575068135,-0.6739399020021923,-0.6739399020021923,-0.6739399020021923,-0.6739399020021923,-0.6739399020021923,-0.6739399020021923,0.0,0.0,0.0,34.635729673065946
2012-04-01,35.309638115270694,34.339351166416904,35.06177421187786,35.309638115270694,35.30990496211598,-0.6101106762579348,-0.6101106762579348,-0.6101106762579348,-0.6101106762579348,-0.6101106762579348,-0.6101106762579348,0.0,0.0,0.0,34.69952743901276
2012-05-01,35.309607670305425,34.52824829175572,35.23812666710455,35.30957213045275,35.3103259812904,-0.4173579656090071,-0.4173579656090071,-0.4173579656090071,-0.4173579656090071,-0.4173579656090071,-0.4173579656090071,0.0,0.0,0.0,34.89224970469642
